Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
4.110119,-0.0000000,-0.0000000,0.0000000,-0.0020000,-0.0120000,0.9990000,0.00000,4.40000,-10.60000
4.159040,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9970000,0.10000,4.40000,-10.60000
4.208911,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9970000,0.20000,4.40000,-10.50000
4.258865,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9980000,0.20000,4.60000,-10.60000
4.308458,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9980000,0.10000,4.40000,-10.50000
4.358671,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9970000,0.20000,4.50000,-10.50000
4.408536,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9950000,0.20000,4.40000,-10.40000
4.458217,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9980000,0.00000,4.40000,-10.60000
4.509181,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.00000,4.50000,-10.50000
4.558060,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0100000,0.9980000,0.10000,4.50000,-10.50000
4.607189,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9960000,0.00000,4.40000,-10.40000
4.659110,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0090000,0.9980000,0.00000,4.30000,-10.50000
4.708129,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9990000,0.10000,4.30000,-10.50000
4.757441,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0100000,0.9960000,0.10000,4.40000,-10.50000
4.807513,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0100000,0.9970000,0.20000,4.40000,-10.50000
4.857658,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0100000,0.9990000,0.20000,4.40000,-10.50000
4.907200,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0100000,0.9970000,0.10000,4.50000,-10.50000
4.956837,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9970000,0.10000,4.50000,-10.40000
5.007071,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0090000,0.9980000,0.20000,4.40000,-10.60000
