Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
4.189572,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9950000,8.10000,-0.50000,-28.40000
4.236811,-0.0610000,-0.0610000,0.0000000,0.0030000,0.0110000,0.9960000,8.00000,-0.50000,-28.30000
4.288805,-0.0610000,-0.0610000,0.0000000,0.0030000,0.0110000,0.9950000,8.10000,-0.50000,-28.40000
4.336753,-0.0610000,-0.0610000,0.0610000,0.0030000,0.0120000,0.9960000,8.00000,-0.60000,-28.40000
4.386612,-0.0610000,-0.0610000,0.0610000,0.0030000,0.0110000,0.9960000,8.10000,-0.60000,-28.40000
4.436233,-0.0610000,-0.0610000,0.0000000,0.0030000,0.0110000,0.9950000,8.30000,-0.80000,-28.20000
4.486467,-0.0610000,-0.0610000,0.0000000,0.0020000,0.0120000,0.9950000,8.20000,-0.50000,-28.20000
4.536577,-0.2440000,-0.2440000,0.0000000,0.0030000,0.0120000,0.9960000,8.10000,-0.60000,-28.30000
4.590652,-0.3050000,-0.4270000,-0.0610000,0.0070000,0.0120000,0.9910000,8.10000,-0.60000,-28.40000
4.635979,-0.6100000,-0.6100000,-24.2920000,0.0240000,0.0260000,0.9970000,8.00000,-0.50000,-28.40000
4.692040,0.3050000,0.2440000,0.0610000,0.0020000,0.0120000,0.9950000,8.00000,-0.40000,-28.20000
4.735616,0.6100000,0.0610000,0.0000000,0.0030000,0.0140000,0.9950000,8.20000,-0.30000,-28.30000
4.790962,-0.0000000,-0.0610000,-15.8080000,0.0240000,-0.0170000,0.9950000,8.20000,-0.30000,-28.30000
4.835184,-0.0000000,-0.0000000,0.0610000,0.0030000,0.0110000,0.9950000,8.10000,-0.10000,-28.30000
4.885221,0.2440000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9950000,8.10000,-0.20000,-28.30000
4.935634,-0.6100000,-0.3050000,-23.9870000,0.0070000,0.0210000,0.9940000,8.00000,-0.20000,-28.40000
4.990251,-0.0610000,-0.0000000,0.1220000,0.0020000,0.0120000,0.9950000,8.00000,-0.30000,-28.30000
5.035238,-1.6480000,-0.7320000,-51.0860000,-0.0100000,0.0600000,0.9950000,8.30000,-0.20000,-28.40000
5.084945,0.1220000,-0.0000000,0.0610000,0.0010000,0.0110000,0.9960000,8.10000,-0.10000,-28.30000
5.135030,0.0610000,0.2440000,0.0610000,0.0010000,0.0150000,0.9930000,8.30000,0.00000,-28.40000
5.184204,-0.4880000,-0.0000000,0.0610000,0.0010000,0.0130000,0.9960000,8.20000,0.00000,-28.30000
5.234141,-3.1130000,-1.2820000,0.0610000,0.0020000,0.0090000,0.9950000,8.10000,0.00000,-28.50000
5.284864,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.30000,-0.10000,-28.30000
5.336150,-0.0000000,-0.0000000,0.0610000,0.0010000,0.0110000,0.9950000,8.10000,0.00000,-28.30000
5.398657,-0.0610000,-0.0000000,0.0610000,0.0030000,0.0110000,0.9950000,8.30000,0.00000,-28.20000
5.433588,-0.0610000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9960000,8.40000,-0.10000,-28.50000
5.485011,-0.0610000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9960000,8.20000,0.00000,-28.40000
5.533232,-0.0610000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.20000,-0.10000,-28.40000
5.584755,-0.0610000,-0.0000000,0.0610000,0.0020000,0.0110000,0.9950000,8.30000,-0.10000,-28.30000
5.633216,-0.0610000,-0.0610000,0.0000000,0.0030000,0.0110000,0.9950000,8.20000,0.00000,-28.40000
5.682917,-0.0610000,-0.0610000,0.0610000,0.0030000,0.0110000,0.9950000,8.30000,-0.10000,-28.40000
5.732713,-0.0610000,-0.0000000,0.0000000,0.0030000,0.0110000,0.9950000,8.10000,-0.20000,-28.30000
5.782522,-0.0610000,-0.0610000,0.0000000,0.0030000,0.0110000,0.9950000,8.20000,0.00000,-28.30000
5.836468,-0.1220000,-0.0610000,0.0000000,0.0020000,0.0120000,0.9960000,8.30000,-0.10000,-28.30000
5.893014,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9950000,8.30000,0.00000,-28.30000
5.942789,-0.1220000,-0.0000000,0.0000000,0.0000000,0.0110000,0.9950000,8.10000,0.00000,-28.30000
5.982141,-0.1830000,-0.1220000,0.0610000,0.0020000,0.0110000,0.9950000,8.20000,0.00000,-28.30000
6.032962,-0.0610000,-0.0000000,0.0610000,0.0020000,0.0100000,0.9950000,8.20000,0.00000,-28.50000
6.081872,-0.0610000,-0.0610000,0.0610000,0.0030000,0.0140000,0.9960000,8.10000,0.00000,-28.40000
6.144971,-0.1220000,-0.0610000,0.0610000,0.0030000,0.0100000,0.9960000,8.00000,-0.10000,-28.40000
6.181375,-0.0000000,-0.0000000,0.0610000,0.0010000,0.0090000,0.9940000,8.00000,-0.10000,-28.30000
6.236526,-0.0610000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9960000,8.00000,-0.10000,-28.40000
6.281307,-0.1220000,-0.0000000,0.0610000,0.0020000,0.0120000,0.9950000,8.20000,-0.10000,-28.40000
6.331725,-0.0610000,-0.0610000,0.0610000,0.0020000,0.0130000,0.9940000,8.30000,0.00000,-28.40000
6.382726,-0.0000000,-0.0610000,0.0000000,0.0030000,0.0120000,0.9960000,8.30000,0.00000,-28.30000
6.431786,-0.0610000,-0.0610000,0.0610000,0.0010000,0.0110000,0.9950000,8.30000,0.00000,-28.30000
6.483302,-0.0610000,-0.0000000,0.0610000,0.0020000,0.0120000,0.9960000,8.30000,0.00000,-28.40000
6.536915,-0.0610000,-0.0610000,0.0000000,0.0020000,0.0120000,0.9950000,8.30000,0.00000,-28.40000
6.582950,-0.0000000,-0.0610000,0.0610000,0.0030000,0.0120000,0.9950000,8.30000,0.00000,-28.30000
6.631845,-0.1220000,-0.0610000,0.0610000,0.0020000,0.0120000,0.9960000,8.20000,0.00000,-28.50000
6.680287,-0.0610000,-0.1220000,0.0000000,0.0020000,0.0120000,0.9950000,8.20000,0.00000,-28.40000
6.730285,-0.0610000,-0.0000000,0.0610000,0.0010000,0.0120000,0.9950000,8.20000,0.00000,-28.30000
6.779858,-0.0000000,-0.0000000,0.0000000,0.0010000,0.0120000,0.9950000,8.20000,-0.10000,-28.30000
6.830275,0.3050000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9960000,8.10000,0.00000,-28.40000
6.889368,-0.0000000,-0.1830000,0.0000000,0.0000000,0.0130000,0.9950000,8.10000,-0.20000,-28.30000
6.929610,0.1830000,-0.0610000,-0.5490000,0.0040000,0.0050000,0.9960000,8.10000,-0.20000,-28.30000
6.979674,0.2440000,0.0610000,0.0000000,0.0020000,0.0130000,0.9960000,8.20000,0.00000,-28.40000
7.029580,-0.1830000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9950000,8.20000,0.00000,-28.40000
7.090847,-0.1830000,-0.0000000,0.0610000,0.0020000,0.0120000,0.9950000,8.30000,0.00000,-28.40000
7.152732,-1.2820000,-0.3050000,0.1830000,0.0030000,0.0120000,0.9950000,8.30000,0.00000,-28.50000
7.179815,0.0610000,0.1220000,0.0000000,0.0030000,0.0100000,0.9960000,8.10000,0.00000,-28.40000
7.229603,-0.3050000,-0.1220000,0.0610000,0.0060000,0.0050000,0.9940000,8.10000,0.00000,-28.40000
7.278673,-0.1220000,-0.0610000,0.0610000,0.0030000,0.0120000,0.9960000,8.00000,0.00000,-28.30000
7.341699,-0.0610000,-0.1220000,0.0000000,0.0030000,0.0100000,0.9950000,8.20000,0.10000,-28.30000
7.378239,-0.0610000,-0.0610000,0.0000000,0.0030000,0.0120000,0.9950000,8.20000,0.00000,-28.50000
7.442768,-0.1220000,-0.0610000,0.0610000,0.0030000,0.0110000,0.9940000,8.40000,0.00000,-28.30000
7.478212,-0.1220000,-0.0610000,0.0000000,0.0030000,0.0110000,0.9950000,8.30000,0.00000,-28.30000
7.527948,-0.0610000,-0.0000000,0.0610000,0.0020000,0.0100000,0.9950000,8.20000,0.00000,-28.30000
7.580178,-0.1220000,-0.0610000,0.0000000,0.0020000,0.0110000,0.9950000,8.30000,0.00000,-28.30000
7.633948,-0.0610000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.30000,0.00000,-28.30000
7.677235,-0.1220000,-0.0610000,0.0000000,0.0030000,0.0110000,0.9950000,8.20000,0.00000,-28.40000
7.727357,-0.0610000,-0.0610000,0.0000000,0.0020000,0.0110000,0.9960000,8.20000,0.00000,-28.50000
7.777837,-0.0610000,-0.0000000,0.0610000,0.0020000,0.0120000,0.9950000,8.20000,0.10000,-28.40000
7.827302,-0.0000000,-0.0000000,0.0610000,0.0020000,0.0110000,0.9960000,8.30000,0.00000,-28.40000
7.880652,-0.1220000,-0.0000000,0.0610000,0.0020000,0.0120000,0.9950000,8.20000,0.00000,-28.30000
7.926713,-0.1830000,-0.1220000,0.0000000,0.0030000,0.0110000,0.9950000,8.40000,0.10000,-28.40000
7.976842,-0.0610000,-0.0610000,0.0610000,0.0020000,0.0110000,0.9960000,8.20000,0.00000,-28.40000
8.033477,-0.0610000,-0.0610000,0.0000000,0.0020000,0.0110000,0.9960000,8.10000,0.10000,-28.30000
8.076584,-0.1830000,-0.1220000,0.0610000,0.0020000,0.0120000,0.9950000,8.10000,-0.40000,-27.90000
8.126221,-0.1220000,-0.0610000,0.0610000,0.0020000,0.0110000,0.9960000,8.00000,-0.20000,-28.10000
8.176055,-0.0610000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9950000,8.00000,-0.10000,-28.30000
8.226895,-0.1220000,-0.0610000,0.0610000,0.0020000,0.0110000,0.9950000,8.10000,-0.10000,-28.40000
8.276319,-0.0610000,-0.0000000,0.0610000,0.0020000,0.0120000,0.9950000,8.10000,0.00000,-28.30000
8.329984,-0.1220000,-0.1220000,0.0000000,0.0020000,0.0110000,0.9960000,8.10000,0.00000,-28.40000
